Gene	Protein	Uniprot id	Pfam ID	Start End domain	Part of evolutionary analysis	classification (Fig 1C)
ENSG00000188694	ENSP00000339238	Q3LI83	PF05287	6-191	0	Non-PRD proteins
ENSG00000111077	ENSP00000319756	Q63HR2	PF10409;PF08416;PF00017	297-424;1275-1409;1140-1232	1	viral-binding PRDs
ENSG00000175792	ENSP00000318297	Q9Y265	PF06068;PF17856	14-369;374-439	0	Viral-binding non-PRDs
ENSG00000109118	ENSP00000329933	Q96QT6	PF00628;PF00628;PF16737	58-105;273-319;202-241	1	Non-PRD proteins
ENSG00000264006	ENSP00000496804	A0A3B3IRI8	PF00248	21-304	0	Non-PRD proteins
ENSG00000197442	ENSP00000351908	Q99683	PF00069;PF19039;PF13281	682-938;555-654;165-545	1	viral-binding PRDs
ENSG00000150967	ENSP00000394898	Q6P2Q0	PF00005;PF00664	522-671;188-457	1	Non-PRD proteins
ENSG00000136206	ENSP00000499187	A0A494C1S0	PF11357;PF11357	193-317;310-372	0	Non-PRD proteins
ENSG00000171217	ENSP00000356133	P56880	PF00822	4-181	0	Non-PRD proteins
ENSG00000254469	ENSP00000434508	E9PQ18	PF01834	40-181	0	Non-PRD proteins
ENSG00000177663	ENSP00000320936	Q96F46	PF16578;PF16556;PF08357	199-303;48-198;378-536	1	Viral-binding non-PRDs
ENSG00000100395	ENSP00000216237	Q969R5	PF02820;PF02820;PF02820;PF02820	214-287;327-393;432-504;540-608	1	Viral-binding non-PRDs
ENSG00000137992	ENSP00000359151	P11182	PF00364;PF00198;PF02817	65-138;248-479;171-206	0	Non-PRD proteins
ENSG00000177125	ENSP00000317534	A0A0C4DFQ2	PF00651;PF00096;PF00096;PF00096	26-130;376-398;404-426;432-455	1	Viral-binding non-PRDs
ENSG00000135821	ENSP00000494022	A0A2R8YDT1	PF00120;PF03951	244-495;158-238	1	Viral-binding non-PRDs
ENSG00000146197	ENSP00000274938	Q8IX30	PF12662;PF12662;PF12947;PF14670;PF07645;PF00431;PF07699;PF07699;PF07699	92-115;257-280;33-68;281-316;357-404;804-913;642-689;696-743;752-799	1	Non-PRD proteins
ENSG00000116704	ENSP00000235345	Q9NTN3	PF03151	39-328	1	Non-PRD proteins
ENSG00000122299	ENSP00000347999	Q8IWR0	PF00642	903-927	1	Viral-binding non-PRDs
ENSG00000196531	ENSP00000403817	E9PAV3	PF19026;PF01849	2037-2077;1936-1992	0	Viral-binding non-PRDs
ENSG00000278279	ENSP00000484286	A0A0G2JPU4	PF13895;PF00047	28-117;127-209	0	Non-PRD proteins
ENSG00000186832	ENSP00000301653	P08779	PF00038	116-427	0	Viral-binding non-PRDs
ENSG00000165325	ENSP00000298050	Q05D60	PF17045	11-280	1	Viral-binding non-PRDs
ENSG00000197428	ENSP00000350222	Q8NGF3	PF13853	44-322	0	Non-PRD proteins
ENSG00000093009	ENSP00000405726	O75419	PF02724;PF02724	19-163;131-563	1	Viral-binding non-PRDs
ENSG00000171433	ENSP00000302552	A6NK44	PF00903	37-154	1	Non-PRD proteins
ENSG00000250120	ENSP00000304234	Q9Y5I2	PF08266;PF00028;PF00028;PF00028;PF00028;PF15974	29-111;246-340;354-445;459-555;580-669;798-931	0	Non-PRD proteins
ENSG00000150773	ENSP00000503801	Q8WWB5	PF18201;PF08190	223-315;19-168	1	Non-PRD proteins
ENSG00000085063	ENSP00000403511	P13987	PF00021	28-95	0	Viral-binding non-PRDs
ENSG00000172890	ENSP00000326424	Q6IA69	PF02540;PF00795	337-651;6-283	1	Non-PRD proteins
ENSG00000102038	ENSP00000360162	B7ZLQ5	PF00176;PF13892;PF00271;PF09111;PF09110	186-466;43-116;486-612;913-1027;758-856	1	Viral-binding non-PRDs
ENSG00000157540	ENSP00000381932	Q13627	PF00069	159-479	1	viral-binding PRDs
ENSG00000077097	ENSP00000264331	Q02880	PF02518;PF00204;PF01751;PF00521;PF08070;PF16898	97-246;287-451;477-592;734-1190;1508-1610;594-732	0	Viral-binding non-PRDs
ENSG00000257315	ENSP00000447879	P86452	PF02892;PF02892;PF05699	133-181;267-315;867-948	0	Non-PRD proteins
ENSG00000167807	ENSP00000408510	E7EQL1	PF00111	75-145	0	Non-PRD proteins
ENSG00000077238	ENSP00000379111	P24394	PF09238	28-121	1	Non-PRD proteins
ENSG00000125991	ENSP00000399124	H0Y5K5	PF07970;PF13850	144-377;6-96	1	Viral-binding non-PRDs
ENSG00000134256	ENSP00000256652	Q93033	PF07686;PF07686;PF07686;PF07679	27-143;151-273;821-938;413-532	0	Non-PRD proteins
ENSG00000139651	ENSP00000409463	Q8NDX6	PF00096;PF00096	101-123;129-151	1	Non-PRD proteins
ENSG00000183206	ENSP00000351856	B2RU33	PF13857;PF13857;PF12796;PF12796	197-246;291-345;143-236;243-335	0	Non-PRD proteins
ENSG00000163964	ENSP00000296333	H0Y2P9	PF08320	54-269	0	Viral-binding non-PRDs
ENSG00000140279	ENSP00000475084	Q9NRD8	PF08022;PF08030;PF00036;PF01794;PF03098	1269-1371;1377-1531;823-851;1084-1233;35-560	1	PRD proteins
ENSG00000108518	ENSP00000225655	P07737	PF00235	2-140	0	viral-binding PRDs
ENSG00000117697	ENSP00000355944	Q96IY1	PF08641	82-197	1	Non-PRD proteins
ENSG00000076242	ENSP00000231790	P40692	PF13589;PF01119;PF16413	25-138;216-335;502-756	1	viral-binding PRDs
ENSG00000137878	ENSP00000465231	H8Y6P7	PF15328	432-638	1	Non-PRD proteins
ENSG00000170909	ENSP00000352671	A0A087WV17	PF13895	36-127	0	Non-PRD proteins
ENSG00000115718	ENSP00000386679	E7END6	PF00089;PF00594;PF14670;PF00008	246-479;47-87;174-209;96-130	0	PRD proteins
ENSG00000120907	ENSP00000369960	P35348	PF00001	43-326	1	Non-PRD proteins
ENSG00000186094	ENSP00000360905	Q5VU57	PF00246;PF18027	174-439;46-166	0	Non-PRD proteins
ENSG00000116604	ENSP00000271555	Q14814	PF00319;PF12347	10-57;90-154	1	Non-PRD proteins
ENSG00000136490	ENSP00000259006	Q9BT23	PF00412	40-96	1	Non-PRD proteins
ENSG00000188263	ENSP00000342520	Q6ZVW7	PF15037	30-316	0	Non-PRD proteins
ENSG00000184524	ENSP00000328336	Q8N111	PF15677	1-149	0	Viral-binding non-PRDs
ENSG00000213889	ENSP00000397050	Q8N819	PF00481;PF07830	65-319;320-397	0	Non-PRD proteins
ENSG00000076258	ENSP00000356723	P31512	PF00743	2-532	1	Non-PRD proteins
ENSG00000171049	ENSP00000340191	P25090	PF00001	43-302	0	Non-PRD proteins
ENSG00000157510	ENSP00000296721	Q8TED9	PF00169;PF00169	222-316;414-507	1	Non-PRD proteins
ENSG00000119457	ENSP00000363345	Q9BY10	PF07690	68-422	1	Non-PRD proteins
ENSG00000122642	ENSP00000439250	O95302	PF00254;PF00254;PF00254;PF00254	47-139;159-251;271-362;382-474	1	Viral-binding non-PRDs
ENSG00000172062	ENSP00000486539	E7EQZ4	PF06003	26-286	0	Viral-binding non-PRDs
ENSG00000184076	ENSP00000332887	Q9UDW1	PF05365	8-60	0	Viral-binding non-PRDs
ENSG00000102172	ENSP00000407366	H7C2R7	PF01564;PF17950;PF17284	266-311;113-209;215-264	0	Non-PRD proteins
ENSG00000187955	ENSP00000297848	Q05707	PF00092;PF00092;PF01391;PF01391;PF01391;PF01391;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041	158-329;1032-1204;1460-1514;1512-1570;1554-1614;1651-1707;31-111;354-433;444-525;536-614;625-704;737-819;830-910;921-998	1	PRD proteins
ENSG00000122481	ENSP00000359221	Q9Y3V2	PF05773	3-111	1	Non-PRD proteins
ENSG00000171320	ENSP00000306999	Q56NI9	PF13880;PF13878	529-597;374-413	0	Non-PRD proteins
ENSG00000110446	ENSP00000227880	Q8IY34	PF00854	101-523	0	Non-PRD proteins
ENSG00000165118	ENSP00000365522	Q5T6V5	PF10343	55-341	0	Non-PRD proteins
ENSG00000077498	ENSP00000263321	P14679	PF00264	170-403	1	Non-PRD proteins
ENSG00000080031	ENSP00000365528	Q9HD43	PF00102;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041	844-1078;30-108;119-195;209-287;297-377;386-467;566-656	0	Non-PRD proteins
ENSG00000176986	ENSP00000321845	P53992	PF00626;PF04811;PF04810;PF04815;PF08033	961-1036;499-743;422-460;843-945;748-832	0	Viral-binding non-PRDs
ENSG00000140030	ENSP00000267549	Q8IYL9	PF00001	31-290	0	Non-PRD proteins
ENSG00000205445	ENSP00000375479	P60368	PF13885;PF13885;PF13885;PF13885;PF13885;PF13885	16-61;74-118;116-161;158-206;196-238;209-255	0	Non-PRD proteins
ENSG00000178585	ENSP00000383696	Q9NSA3	PF06384	1-79	0	Viral-binding non-PRDs
ENSG00000196832	ENSP00000349930	Q8NGC1	PF13853	69-344	0	Non-PRD proteins
ENSG00000187513	ENSP00000343676	P35212	PF00029	3-233	0	Non-PRD proteins
ENSG00000100612	ENSP00000450899	H0YJ66	PF00106	46-245	0	Viral-binding non-PRDs
ENSG00000141503	ENSP00000347427	Q8N4C8	PF00069;PF00780	25-289;1023-1303	0	PRD proteins
ENSG00000204950	ENSP00000367315	A6NIK2	PF13855;PF13855	67-125;90-148	0	Non-PRD proteins
ENSG00000258436	ENSP00000450580	Q5GAN4	PF00074	23-143	0	Non-PRD proteins
ENSG00000143632	ENSP00000355645	P68133	PF00022	4-377	0	experimentally-verified viral-binding PRDs
ENSG00000166262	ENSP00000299338	Q96M60	PF14922	159-304	0	Non-PRD proteins
ENSG00000257921	ENSP00000499064	A0A494C1I5	PF10294	35-109	0	Non-PRD proteins
ENSG00000173917	ENSP00000331741	P14652	PF00046	144-200	0	PRD proteins
ENSG00000130538	ENSP00000495403	A0A126GWF9	PF13853	35-312	0	Non-PRD proteins
ENSG00000137285	ENSP00000259818	Q9BVA1	PF03953;PF00091	261-383;3-212	0	Viral-binding non-PRDs
ENSG00000187778	ENSP00000447514	F8W126	PF13325	121-318	1	Non-PRD proteins
ENSG00000143515	ENSP00000500034	P98198	PF13246;PF16209;PF16212	491-592;35-101;859-1113	1	Non-PRD proteins
ENSG00000170367	ENSP00000307132	P28325	PF00031	32-128	0	Non-PRD proteins
ENSG00000267618	ENSP00000466834	K7EN88	PF08423;PF13920	1-150;221-266	0	Non-PRD proteins
ENSG00000166211	ENSP00000448580	Q8N5J4	PF00178	112-194	1	Non-PRD proteins
ENSG00000165496	ENSP00000298283	Q96L21	PF00252	12-166	0	Viral-binding non-PRDs
ENSG00000091879	ENSP00000314897	O15123	PF00147	280-494	1	Non-PRD proteins
ENSG00000136518	ENSP00000397552	O96019	PF00022	8-429	1	viral-binding PRDs
ENSG00000100253	ENSP00000216075	Q9UGB7	PF05153	37-285	0	Non-PRD proteins
ENSG00000182013	ENSP00000318131	Q86V59	PF14893	5-364	0	Non-PRD proteins
ENSG00000169609	ENSP00000403987	Q8WUR7	PF02594	62-133	0	Non-PRD proteins
ENSG00000134709	ENSP00000360252	Q9UJC3	PF05622;PF19047	186-719;13-163	0	Viral-binding non-PRDs
ENSG00000214681	ENSP00000394653	A8MTL0	PF00612;PF00612	12-32;68-88	0	Non-PRD proteins
ENSG00000165066	ENSP00000428361	A6NJ46	PF00046	140-196	1	PRD proteins
ENSG00000015479	ENSP00000482895	P43243	PF13893	377-487	0	Viral-binding non-PRDs
ENSG00000133124	ENSP00000361202	O14654	PF02174	231-333	0	viral-binding PRDs
ENSG00000241489	ENSP00000498395	B3KWA1	PF00884	1-205	0	Non-PRD proteins
ENSG00000254685	ENSP00000359935	O14772	PF07959	127-546	0	Non-PRD proteins
ENSG00000198899	ENSP00000354632	P00846	PF00119	14-223	0	Viral-binding non-PRDs
ENSG00000143612	ENSP00000357507	Q9BWL3	PF07406	6-188	0	Viral-binding non-PRDs
ENSG00000159423	ENSP00000290597	P30038	PF00171	74-547	0	Viral-binding non-PRDs
ENSG00000180383	ENSP00000326309	Q8NES8	PF13841	26-55	0	Non-PRD proteins
ENSG00000158796	ENSP00000356984	B1AQP5	PF01335	26-107	1	Non-PRD proteins
ENSG00000141655	ENSP00000465500	Q9Y6Q6	PF00020;PF18278	154-194;89-129	1	Non-PRD proteins
ENSG00000127554	ENSP00000248114	P55789	PF04777	104-196	0	Viral-binding non-PRDs
ENSG00000277090	ENSP00000481013	Q08AF8	PF15070;PF15070;PF19046	21-163;170-287;391-430	0	Non-PRD proteins
ENSG00000152463	ENSP00000367462	Q9NV23	PF00975	27-256	0	Viral-binding non-PRDs
ENSG00000104894	ENSP00000325708	P11049	PF00335	11-269	0	Non-PRD proteins
ENSG00000171100	ENSP00000359423	Q13496	PF06602;PF02893	150-487;27-143	0	Non-PRD proteins
ENSG00000100997	ENSP00000365725	Q8N2K0	PF12146	165-297	1	Viral-binding non-PRDs
ENSG00000108604	ENSP00000392617	Q92925	PF02201	309-381	1	PRD proteins
ENSG00000171115	ENSP00000305107	Q8ND71	PF04548;PF04548;PF04548	11-220;248-437;439-655	0	Viral-binding non-PRDs
ENSG00000248920	ENSP00000425582	D6RCP7	PF00443;PF04774	80-372;365-457	0	Non-PRD proteins
ENSG00000284891	ENSP00000496209	A0A4W9AIG4	PF13853	30-306	0	Non-PRD proteins
ENSG00000143344	ENSP00000303192	Q9NZL6	PF00788;PF00618;PF00617	648-735;68-174;235-449	1	Non-PRD proteins
ENSG00000234920	ENSP00000406389	O95670	PF03179	3-107	0	Non-PRD proteins
ENSG00000213199	ENSP00000297512	Q9UHC3	PF00858	20-459	0	Non-PRD proteins
ENSG00000056558	ENSP00000362994	Q13077	PF16673	182-245	1	Viral-binding non-PRDs
ENSG00000178568	ENSP00000342235	Q15303	PF01030;PF01030;PF07714;PF00757;PF14843	55-167;358-478;718-974;176-335;502-634	0	PRD proteins
ENSG00000115866	ENSP00000264161	P14868	PF01336;PF00152	60-145;175-496	1	Viral-binding non-PRDs
ENSG00000156194	ENSP00000286719	O14830	PF08321;PF13833;PF00036;PF00149	75-164;683-723;656-684;173-366	1	PRD proteins
ENSG00000128591	ENSP00000327145	Q14315	PF00630;PF00630;PF00630;PF00630;PF00630;PF00630;PF00630;PF00630;PF00630;PF00630;PF00630;PF00630;PF00630;PF00630;PF00630;PF00630;PF00630;PF00630;PF00630;PF00630;PF00630;PF00630;PF00630;PF00307;PF00307	272-365;372-465;471-562;568-655;664-755;761-858;864-957;963-1053;1059-1146;1152-1241;1247-1341;1347-1434;1440-1530;1536-1627;1633-1731;1773-1851;1856-1943;2038-2125;2205-2303;2311-2398;2406-2493;2502-2589;2632-2721;36-143;159-263	0	Viral-binding non-PRDs
ENSG00000139644	ENSP00000446734	P55061	PF01027	24-225	0	Non-PRD proteins
ENSG00000184343	ENSP00000420058	E7ETV6	PF00069;PF00069	146-295;454-632	0	PRD proteins
ENSG00000119004	ENSP00000407860	E9PHG5	PF00067	42-465	0	Non-PRD proteins
ENSG00000197601	ENSP00000346874	Q8WVX9	PF07993;PF03015	15-285;356-448	1	Viral-binding non-PRDs
ENSG00000127922	ENSP00000349114	Q6ZVN7	PF17697	1-128	0	Non-PRD proteins
ENSG00000196172	ENSP00000384000	Q96N22	PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352	198-220;313-332;338-360;366-388;394-416;422-444;450-472;478-500;506-528;534-556;562-584;590-612;3-44	0	Non-PRD proteins
ENSG00000164520	ENSP00000349709	Q8TD07	PF00129	29-202	0	Non-PRD proteins
ENSG00000125967	ENSP00000246190	Q96P71	PF03992;PF13202	295-370;41-66	0	Non-PRD proteins
ENSG00000048707	ENSP00000478104	Q5THJ4	PF00627;PF06650;PF12624;PF16910;PF16910;PF16908;PF16909	2637-2673;3276-3560;2-116;613-774;782-901;136-358;3982-4130	1	Non-PRD proteins
ENSG00000076043	ENSP00000265881	Q9Y3B8	PF00929	44-207	1	Non-PRD proteins
ENSG00000104327	ENSP00000265431	P05937	PF13499;PF00036	101-171;190-218	1	PRD proteins
ENSG00000134551	ENSP00000371271	P02810	PF15240	1-166	0	Non-PRD proteins
ENSG00000181072	ENSP00000415386	P08172	PF00001	40-440	1	Viral-binding non-PRDs
ENSG00000169429	ENSP00000306512	P10145	PF00048	32-92	0	Viral-binding non-PRDs
ENSG00000169660	ENSP00000337854	Q8WVB3	PF00728	46-240	1	Non-PRD proteins
ENSG00000164303	ENSP00000296741	Q6UWR7	PF01663	26-357	1	Non-PRD proteins
ENSG00000068079	ENSP00000395590	P80217	PF07292;PF07292;PF07334	81-170;179-266;8-80	1	Non-PRD proteins
ENSG00000181690	ENSP00000416537	Q6DJT9	PF13912;PF13912;PF00096;PF00096;PF00096	33-59;151-175;62-86;121-143;213-236	1	Non-PRD proteins
ENSG00000177733	ENSP00000316042	Q13151	PF00076;PF00076	9-78;100-168	0	viral-binding PRDs
ENSG00000138641	ENSP00000264345	Q15034	PF00415;PF00415;PF00415;PF00415;PF00415;PF00415;PF00632	52-99;102-152;155-205;208-257;260-309;313-377;752-1050	1	Non-PRD proteins
ENSG00000136908	ENSP00000362202	Q5T9C7	PF07297	5-68	1	Non-PRD proteins
ENSG00000180245	ENSP00000314992	O14718	PF00001	42-294	1	Non-PRD proteins
ENSG00000114125	ENSP00000273480	Q9UBF6	PF12678	48-103	0	Viral-binding non-PRDs
ENSG00000117308	ENSP00000363621	Q14376	PF16363	6-333	1	Viral-binding non-PRDs
ENSG00000085514	ENSP00000198536	Q9UKJ1	PF07686	36-150	0	Viral-binding non-PRDs
ENSG00000269713	ENSP00000477979	P0DPF3	PF06758;PF06758;PF06758;PF06758;PF06758;PF06758;PF06758;PF06758;PF06758	178-240;449-511;535-597;607-672;682-747;757-822;851-916;926-991;1020-1085	0	Non-PRD proteins
ENSG00000164867	ENSP00000297494	P29474	PF00258;PF00667;PF00175;PF02898	522-698;751-979;1011-1125;119-481	1	Viral-binding non-PRDs
ENSG00000186226	ENSP00000357760	Q5T753	PF14672;PF14672	27-61;57-118	0	Non-PRD proteins
ENSG00000254550	ENSP00000436376	P47874	PF06554	11-161	0	Non-PRD proteins
ENSG00000211452	ENSP00000354643	P49895	PF00837	8-248	0	Non-PRD proteins
ENSG00000167858	ENSP00000341346	Q969V4	PF03148	16-398	0	Non-PRD proteins
ENSG00000122068	ENSP00000241502	Q96QD9	PF07078	10-318	0	Viral-binding non-PRDs
ENSG00000105808	ENSP00000262940	O43374	PF00168;PF00168;PF00169;PF00616;PF00779	5-107;133-234;567-672;323-512;681-710	0	Non-PRD proteins
ENSG00000137473	ENSP00000423505	G5E9Z5	PF13181;PF13181	340-373;380-409	0	Non-PRD proteins
ENSG00000172742	ENSP00000493042	Q8NGE8	PF13853	31-304	0	Non-PRD proteins
ENSG00000288631	ENSP00000502009	Q8NG57	PF06881;PF08711	352-450;29-77	0	Non-PRD proteins
ENSG00000154511	ENSP00000359333	Q5T7M9	PF12260;PF14875	194-396;19-176	1	Viral-binding non-PRDs
ENSG00000165929	ENSP00000353802	Q8N9U0	PF00168;PF00168	238-342;366-473	1	Non-PRD proteins
ENSG00000130818	ENSP00000253115	Q9BUY5	PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352	224-246;280-302;308-330;336-358;364-386;392-414;420-442;448-470;476-498;532-554;41-82	0	Non-PRD proteins
ENSG00000099954	ENSP00000341219	Q9BXF3	PF00439	443-526	1	Non-PRD proteins
ENSG00000226124	ENSP00000482786	E5RQL4	PF07837	10-80	0	Non-PRD proteins
ENSG00000137843	ENSP00000453858	Q9NQU5	PF00069;PF00786	407-658;11-66	1	PRD proteins
ENSG00000137770	ENSP00000452837	Q05D32	PF03031	288-450	1	Non-PRD proteins
ENSG00000146530	ENSP00000275358	Q8N2E2	PF00094	425-582	0	Non-PRD proteins
ENSG00000267281	ENSP00000466174	K7ELQ4	PF00170	330-393	0	Non-PRD proteins
ENSG00000166311	ENSP00000434353	E9PQT3	PF00149	201-402	1	PRD proteins
ENSG00000064692	ENSP00000261367	Q9Y6H5	PF16700;PF12796;PF12796	512-557;322-416;406-487	0	Non-PRD proteins
ENSG00000228075	ENSP00000467843	Q8IYS8	PF05205	41-137	0	Non-PRD proteins
ENSG00000196597	ENSP00000440624	Q6ZMW2	PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352	394-416;422-444;450-472;478-500;506-528;534-556;562-584;590-612;618-640;646-668;674-696;7-48	0	Non-PRD proteins
ENSG00000164104	ENSP00000296503	P26583	PF00505;PF09011	95-163;6-79	0	Viral-binding non-PRDs
ENSG00000283526	ENSP00000490857	A0A1B0GWB2	PF04505	185-252	0	Non-PRD proteins
ENSG00000215274	ENSP00000385415	A6NGK3	PF05831	1-110	0	Non-PRD proteins
ENSG00000112139	ENSP00000422042	Q8NFP4	PF00629;PF13927;PF13927;PF13927;PF13927;PF13927;PF13927	753-917;40-112;131-217;239-312;335-418;439-517;538-619	1	Non-PRD proteins
ENSG00000165030	ENSP00000297689	Q16649	PF07716;PF06529	72-125;130-461	0	Viral-binding non-PRDs
ENSG00000174992	ENSP00000383563	O60844	PF01419	27-159	0	Viral-binding non-PRDs
ENSG00000160882	ENSP00000366903	Q4VAR0	PF00067	198-569	0	Non-PRD proteins
ENSG00000101473	ENSP00000217455	O14734	PF13622	45-308	1	Viral-binding non-PRDs
ENSG00000243480	ENSP00000481450	P04746	PF00128;PF02806	46-348;421-508	0	Non-PRD proteins
ENSG00000099769	ENSP00000416683	P35858	PF13855;PF13855;PF13855;PF13855;PF13855;PF13855;PF13855;PF13855;PF13855;PF13855;PF01462	75-134;102-158;146-206;195-254;219-278;242-302;290-350;338-398;386-446;434-494;40-73	0	Non-PRD proteins
ENSG00000276469	ENSP00000484951	Q6PRD1	PF00003	391-633	0	Non-PRD proteins
ENSG00000156097	ENSP00000484797	Q9BZJ8	PF00001	59-341	1	Non-PRD proteins
ENSG00000007384	ENSP00000262316	Q96CC6	PF01694;PF12595	647-791;91-308	0	Non-PRD proteins
ENSG00000136167	ENSP00000315757	P13796	PF00307;PF00307;PF00307;PF00307;PF00036	120-236;264-376;394-504;515-625;13-41	1	viral-binding PRDs
ENSG00000276042	ENSP00000484515	A0A0G2JPX5	PF13895;PF00047	28-117;127-209	0	Non-PRD proteins
ENSG00000147481	ENSP00000493900	Q9NSN8	PF00595	57-137	1	Inferred viral-binding PRDs
ENSG00000119403	ENSP00000483946	A0A087X169	PF14061;PF18104;PF00628	550-597;62-97;117-170	1	Non-PRD proteins
ENSG00000168394	ENSP00000346206	Q03518	PF00005;PF00664	581-731;247-518	0	Viral-binding non-PRDs
ENSG00000185585	ENSP00000362682	Q68BL7	PF02191	399-650	1	Non-PRD proteins
ENSG00000111536	ENSP00000229134	Q9NPH9	PF00726	6-168	0	Non-PRD proteins
ENSG00000063180	ENSP00000084798	O75493	PF00194	34-302	0	Non-PRD proteins
ENSG00000137699	ENSP00000343129	Q14134	PF00643	220-260	1	Viral-binding non-PRDs
ENSG00000163220	ENSP00000357727	P06702	PF01023	8-50	0	Viral-binding non-PRDs
ENSG00000283239	ENSP00000489726	A0A1B0GTJ5	PF03798	64-189	0	Non-PRD proteins
ENSG00000114439	ENSP00000319974	Q8WY36	PF00505;PF09667	80-148;191-380	0	Viral-binding non-PRDs
ENSG00000168754	ENSP00000429896	Q8IXR5	PF14816	337-689	0	Non-PRD proteins
ENSG00000130939	ENSP00000500453	O95155	PF04564;PF10408	1228-1299;591-1212	1	Non-PRD proteins
ENSG00000198911	ENSP00000354476	Q12772	PF00010	331-381	1	Non-PRD proteins
ENSG00000111046	ENSP00000228641	P23409	PF00010;PF01586	94-145;3-93	1	Non-PRD proteins
ENSG00000100401	ENSP00000401470	P46060	PF13516;PF13516;PF07834	112-132;321-341;371-585	0	Viral-binding non-PRDs
ENSG00000124356	ENSP00000386548	O95630	PF01398;PF08969	252-361;8-117	1	Non-PRD proteins
ENSG00000188916	ENSP00000429763	Q6ZSG2	PF15265	1-479	1	Non-PRD proteins
ENSG00000111775	ENSP00000229379	P12074	PF02046	21-102	1	Non-PRD proteins
ENSG00000198467	ENSP00000367541	Q5TCU3	PF00261	48-284	1	Viral-binding non-PRDs
ENSG00000096006	ENSP00000360201	J3KPA1	PF08562;PF00188	222-276;74-202	0	Non-PRD proteins
ENSG00000196860	ENSP00000354204	Q6UXN7	PF02064	14-128	0	Non-PRD proteins
ENSG00000181786	ENSP00000482603	Q8TC94	PF00022	47-416	0	PRD proteins
ENSG00000111328	ENSP00000261692	O14519	PF09806	3-114	0	Viral-binding non-PRDs
ENSG00000179271	ENSP00000323065	Q8TAE8	PF10147	1-211	0	Viral-binding non-PRDs
ENSG00000275511	ENSP00000478836	A0A0G2JMA3	PF00047;PF00047;PF00047	32-110;127-210;227-308	0	Non-PRD proteins
ENSG00000138735	ENSP00000347046	O76074	PF01590;PF01590;PF00233	164-314;346-503;612-847	1	Non-PRD proteins
ENSG00000165175	ENSP00000367735	Q9NPA3	PF07084	2-179	0	Non-PRD proteins
ENSG00000185905	ENSP00000327506	Q6UWD8	PF15755	1-223	0	Non-PRD proteins
ENSG00000109625	ENSP00000354255	Q66K79	PF00246;PF01392;PF13620	193-494;43-154;505-582	1	Non-PRD proteins
ENSG00000104938	ENSP00000316228	Q9H2X3	PF00059	285-391	0	Viral-binding non-PRDs
ENSG00000040341	ENSP00000428756	Q9NUL3	PF00035;PF00035;PF00035;PF00035;PF16482	9-72;127-179;208-272;308-373;455-523	1	Viral-binding non-PRDs
ENSG00000092621	ENSP00000493175	O43175	PF02826;PF00389	111-285;9-317	0	viral-binding PRDs
ENSG00000130052	ENSP00000363727	Q92502	PF01852;PF00620	818-1019;586-735	0	PRD proteins
ENSG00000160062	ENSP00000362609	Q96BR9	PF00651;PF00096;PF00096	14-122;282-304;310-333	1	Non-PRD proteins
ENSG00000064201	ENSP00000182290	Q96QS1	PF00335	10-222	0	Non-PRD proteins
ENSG00000123095	ENSP00000242728	Q9C0J9	PF00010;PF07527	45-100;130-171	0	Non-PRD proteins
ENSG00000148158	ENSP00000363349	Q5VWJ9	PF00787	119-206	1	Non-PRD proteins
ENSG00000239672	ENSP00000337060	P15531	PF00334	5-139	0	Viral-binding non-PRDs
ENSG00000180424	ENSP00000365486	Q8N688	PF13841	24-53	0	Non-PRD proteins
ENSG00000073584	ENSP00000323967	Q969G3	PF00505	66-134	0	Viral-binding non-PRDs
ENSG00000090534	ENSP00000497904	A0A3B3ITS0	PF00758	165-316	0	Non-PRD proteins
ENSG00000127054	ENSP00000445001	Q5TA45	PF10996;PF16661;PF07521	245-363;21-207;377-438	1	Viral-binding non-PRDs
ENSG00000100294	ENSP00000290429	Q8IVS2	PF00698	64-346	1	Viral-binding non-PRDs
ENSG00000179057	ENSP00000421191	Q8N9C0	PF07679;PF07679;PF07679;PF07679;PF07679;PF18362;PF00041;PF00041	67-157;234-323;328-415;419-509;608-697;190-223;704-787;803-886	0	Non-PRD proteins
ENSG00000178921	ENSP00000313490	O15067	PF13507;PF02769;PF02769;PF18072;PF18076	1062-1333;444-603;848-991;184-232;39-160	0	Viral-binding non-PRDs
ENSG00000159899	ENSP00000341083	P20594	PF07714;PF01094;PF00211	518-786;44-399;852-1038	1	PRD proteins
ENSG00000172803	ENSP00000310620	Q86XE0	PF09325;PF09325;PF00787	182-342;324-392;50-164	0	Non-PRD proteins
ENSG00000101198	ENSP00000359340	Q8IVV8	PF05640	1-207	0	Non-PRD proteins
ENSG00000155100	ENSP00000285420	A0A087X0W9	PF02338	183-308	0	Viral-binding non-PRDs
ENSG00000176928	ENSP00000498836	Q9P109	PF02485	133-402	1	PRD proteins
